player_id,full_name,birth_date,nationality,position
13560,Cameron Borthwick-Jackson,2 February 1997,England,D
4601,Artur Boruc,20 February 1980,Poland,G
12584,Sofiane Boufal,17 September 1993,Morocco,F
4788,George Boyd,2 October 1985,Scotland,F
4158,Robert Brady,14 January 1992,Ireland,M
21627,Cohen Bramall,2 April 1996,England,D
9032,Cameron Brannagan,9 May 1996,England,M
5810,Claudio Bravo,13 April 1983,Chile,G
14742,Rhian Brewster,1 April 2000,England,F
5668,Miguel Britos,17 July 1985,Uruguay,D
2152,Leon Britton,16 September 1982,England,M
14636,Nathan Broadhead,5 April 1998,Wales,F
4674,Isaiah Brown,7 January 1997,England,M
13873,Marcus Browne,18 December 1997,England,M
8162,Bruno,1 October 1980,Spain,D
3744,Chris Brunt,14 December 1984,Northern Ireland,M
23695,Marcin Bulka,4 October 1999,Poland,G
8892,Harry Bunn,21 November 1992,England,F
10596,Oliver Burke,7 April 1997,Scotland,F
11965,Matt Butcher,14 May 1997,England,M
4634,Jack Butland,10 March 1993,England,G
10956,George Byers,29 May 1996,Scotland,M
8945,Sam Byram,16 September 1993,England,D
10466,Willy Caballero,28 September 1981,Argentina,G
4341,Yohan Cabaye,14 January 1986,France,M
14547,Tom Cadman,4 May 1998,Ireland,D
2620,Gary Cahill,19 December 1985,England,D
9576,Dominic Calvert-Lewin,16 March 1997,England,F
4636,Geoff Cameron,11 July 1985,United States,D
4254,Joel Campbell,26 June 1992,Costa Rica,F
5001,Emre Can,12 January 1994,Germany,M
4843,Étienne Capoue,11 July 1988,France,M
9869,Baily Cargill,5 July 1995,England,D
1634,Michael Carrick,28 July 1981,England,M
15989,Guido Carrillo,25 May 1991,Argentina,F
4430,Tom Carroll,28 May 1992,England,M
13814,Cameron Carter-Vickers,31 December 1997,United States,D
3160,Craig Cathcart,6 February 1989,Northern Ireland,D
4477,Santi Cazorla,13 December 1984,Spain,M
2651,Petr Cech,20 May 1982,Czech Republic,G
11347,Cédric Soares,31 August 1991,Portugal,D
4844,Nacer Chadli,2 August 1989,Belgium,M
4105,Nathaniel Chalobah,12 December 1994,England,M
4620,Calum Chambers,20 January 1995,England,D
14632,Harry Charsley,1 November 1996,Ireland,M
4161,Chicharito,1 June 1988,Mexico,F
13491,Ben Chilwell,21 December 1996,England,D
13510,Pedro Chirivella,23 May 1997,Spain,M
13248,Hamza Choudhury,1 October 1997,Bangladesh,M
11191,Eric Choupo-Moting,23 March 1989,Cameroon,F
19608,Chris Löwe,16 April 1989,Germany,D
4495,Andreas Christensen,10 April 1996,Denmark,D
3562,Ciaran Clark,26 September 1989,Ireland,D
11146,Jake Clarke-Salter,22 September 1997,England,D
12365,Jordy Clasie,27 June 1991,Netherlands,M
3448,Tom Cleverley,12 August 1989,England,M
9100,Sam Clucas,25 September 1990,England,M
4604,Nathaniel Clyne,5 April 1991,England,D
10268,Luke Coddington,6 June 1995,England,G
3713,Jack Colback,24 October 1989,England,M
3600,Séamus Coleman,11 October 1988,Ireland,D
23739,Michael Collins,22 September 2000,England,D
21653,Aaron Connolly,28 January 2000,Ireland,F
8045,Steve Cook,19 April 1991,England,D
15094,Brandon Cooper,14 January 2000,Wales,D
3549,Francis Coquelin,13 May 1991,France,M
2889,Jack Cork,25 June 1989,England,D
4911,Thibaut Courtois,11 May 1992,Belgium,G
2559,Martin Cranie,26 September 1986,England,D
8897,Aaron Cresswell,15 December 1989,England,D
1629,Peter Crouch,30 January 1981,England,F
5174,Cristián Cuevas,2 April 1995,Chile,D
10539,Josh Cullen,7 April 1996,Ireland,M
33158,Pontus Dahlberg,21 January 1999,Sweden,G
3242,Charlie Daniels,7 September 1986,England,D
5328,Danilo,15 July 1991,Brazil,D
3807,Scott Dann,14 February 1987,England,D
8389,Tendayi Darikwa,13 December 1991,Zimbabwe,D
9251,Karl Darlow,8 October 1990,Wales,G
12854,Matteo Darmian,2 December 1989,Italy,D
2985,Daryl Murphy,15 March 1983,Ireland,F
14457,Josh Dasilva,23 October 1998,England,M
4100,David Luiz,22 April 1987,Brazil,D
10526,Jason Davidson,29 June 1991,Australia,D
13389,Tom Davies,30 June 1998,England,M
2423,Steven Davis,1 January 1985,Northern Ireland,M
4198,Craig Dawson,6 May 1990,England,D
4288,Kevin De Bruyne,28 June 1991,Belgium,M
4330,David de Gea,7 November 1990,Spain,G
4885,Siem de Jong,28 January 1989,Netherlands,M
14834,Zachary Dearnley,28 September 1998,England,F
4546,Mathieu Debuchy,28 July 1985,France,D
9947,Troy Deeney,29 June 1988,England,F
1526,Jermain Defoe,7 October 1982,England,F
5345,Steven Defour,15 April 1988,Belgium,M
1911,Damien Delaney,20 July 1981,Ireland,D
14778,Tom Dele-Bashiru,17 September 1999,Nigeria,M
3799,Fabian Delph,21 November 1989,England,M
4123,Mousa Dembélé,16 July 1987,Belgium,M
11002,Jason Denayer,28 June 1995,Belgium,D
14643,Alex Denny,12 April 2000,England,M
16747,Laurent Depoitre,7 December 1988,Belgium,F
4777,Gerard Deulofeu,13 March 1994,Spain,F
32936,Fousseni Diabaté,18 October 1995,Mali,M
3982,Mohamed Diamé,14 June 1987,Senegal,M
15199,Grady Diangana,19 April 1998,DR Congo,M
14800,Brahim Díaz,3 August 1999,Morocco,F
3642,Diego Cavalieri,1 December 1982,Brazil,G
4941,Diego Costa,7 October 1988,Spain,F
4112,Eric Dier,15 January 1994,England,D
3925,Mame Diouf,16 December 1987,Senegal,F
5577,Brice Dja Djédjé,23 December 1990,Cote D’Ivoire,D
19678,Domingos Quina,18 November 1999,Portugal,M
13823,Abdoulaye Doucouré,1 January 1993,Mali,M
14442,Vlad Dragomir,24 April 1999,Romania,M
6362,Aleksandar Dragovic,6 March 1991,Austria,D
3670,Danny Drinkwater,5 March 1990,England,M
6451,Martin Dúbravka,15 January 1989,Slovakia,G
3601,Shane Duffy,1 January 1992,Ireland,D
14771,Demeaco Duhaney,13 October 1998,England,D
23738,Stephen Duke-McKenna,17 August 2000,Guyana,M
4340,Paul Dummett,26 September 1991,Wales,D
8163,Lewis Dunk,21 November 1991,England,D
2341,Nathan Dyer,29 November 1987,England,M
12707,Ederson,17 August 1993,Brazil,G
12265,Eduardo,19 September 1982,Portugal,G
15038,Tom Edwards,22 January 1999,England,D
14753,Ovie Ejaria,18 November 1997,England,M
8962,Callum Elder,27 January 1995,Australia,D
21468,Andrew Eleftheriou,8 November 1997,England,D
2214,Robert Elliot,30 April 1986,Ireland,G
16803,Emerson,3 August 1994,Italy,D
4845,Christian Eriksen,14 February 1992,Denmark,M
3156,Jonny Evans,3 January 1988,Northern Ireland,D
2934,Patrice Evra,15 May 1981,France,D
3309,Lukasz Fabianski,18 April 1985,Poland,G
2417,Cesc Fàbregas,4 May 1987,Spain,M
3182,Adam Federici,31 January 1985,Australia,G
5672,Federico Fernández,21 February 1989,Argentina,D
7564,Sofiane Féghouli,26 December 1989,Algeria,M
3604,Marouane Fellaini,22 November 1987,Belgium,M
22546,Kiko Femenía,2 February 1991,Spain,D
4810,Leroy Fer,5 January 1990,Netherlands,M
23976,Nathan Ferguson,6 October 2000,England,D
15759,Edimilson Fernandes,15 April 1996,Switzerland,D
4804,Fernandinho,4 May 1985,Brazil,M
5344,Fernando,25 July 1987,Brazil,M
13867,Sam Field,8 May 1998,England,M
5144,Stuart Findlay,14 September 1995,Scotland,D
4129,Jon Flanagan,1 January 1993,England,D
1943,Darren Fletcher,1 February 1984,Scotland,M
14805,Phil Foden,28 May 2000,England,M
14298,Michael Folivi,25 February 1998,England,F
3170,Fraser Forster,17 March 1988,England,G
2932,Ben Foster,3 April 1983,England,G
13561,Timothy Fosu-Mensah,2 January 1998,Netherlands,D
25292,Dimitri Foulquier,23 March 1993,Guadeloupe,D
25309,Juan Foyth,12 January 1998,Argentina,D
8044,Simon Francis,16 February 1985,England,D
8052,Ryan Fraser,24 February 1994,Scotland,M
5371,Christian Fuchs,7 April 1986,Austria,D
7482,Jay Fulton,1 April 1994,Scotland,M
13387,Ramiro Funes Mori,5 March 1991,Argentina,D
12639,Manolo Gabbiadini,26 November 1991,Italy,F
19680,Gabriel Jesus,3 April 1997,Brazil,F
10423,Gabriel Paulista,26 November 1990,Brazil,D
9650,Sam Gallagher,15 September 1995,England,F
3868,Luke Garbutt,21 May 1993,England,D
12946,Aleix García,28 June 1997,Spain,M
5937,Florin Gardos,29 October 1988,Romania,D
4771,Dwight Gayle,17 October 1989,England,F
4600,Paulo Gazzaniga,2 January 1992,Argentina,G
15146,Anthony Georgiou,24 February 1997,Cyprus,D
3046,Kieran Gibbs,26 September 1989,England,D
14453,Charlie Gilmour,11 February 1999,Scotland,M
4481,Olivier Giroud,30 September 1986,France,F
9634,Connor Goldson,18 December 1992,England,D
14830,Angel Gomes,31 August 2000,England,M
10651,Joe Gomez,23 May 1997,England,D
4547,Curtis Good,23 March 1993,Australia,D
23747,Anthony Gordon,24 February 2001,England,F
11134,Jon Gorenc Stankovic,14 January 1996,Slovenia,M
3390,Dan Gosling,1 February 1990,England,M
4554,Yoan Gouffran,25 May 1986,France,M
19909,Kamil Grabara,8 January 1999,Poland,G
8055,Lewis Grabban,12 January 1988,England,F
12815,Max Gradel,30 November 1987,Cote D’Ivoire,M
1870,Lee Grant,27 January 1983,England,G
7946,Demarai Gray,28 June 1996,Jamaica,F
2758,Robert Green,18 January 1980,England,G
8650,Matt Grimes,15 July 1995,England,M
14766,Daniel Grimshaw,16 January 1998,England,G
22542,Pascal Groß,15 June 1991,Germany,M
13985,Marko Grujic,13 April 1996,Serbia,M
6210,Jóhann Gudmundsson,27 October 1990,Iceland,F
12582,Idrissa Gueye,26 September 1989,Senegal,M
5101,Ilkay Gündogan,24 October 1990,Germany,M
15027,Daniel Gyollai,7 April 1997,Hungary,G
12173,Florent Hadërgjonaj,31 July 1994,Kosovo,D
4545,Massadio Haïdara,2 December 1992,Mali,D
24839,Sead Haksabanovic,4 May 1999,Montenegro,M
3183,Ben Hamer,20 November 1987,England,G
14835,Ethan Hamilton,18 October 1998,Scotland,M
3819,Grant Hanley,20 November 1991,Scotland,D
20869,Ollie Harfield,9 January 1998,England,D
20101,Rekeem Harper,8 March 2000,England,M
3143,Joe Hart,19 April 1987,England,G
13777,Jakob Haugaard,1 May 1992,Denmark,G
4713,Isaac Hayden,22 March 1995,Jamaica,M
4503,Eden Hazard,7 January 1991,Belgium,F
2933,Tom Heaton,15 April 1986,England,G
19609,Michael Hefele,1 September 1990,Germany,D
13234,Tomer Hemed,2 May 1987,Israel,F
3712,Jordan Henderson,17 June 1990,England,M
8586,Jeff Hendrick,31 January 1992,Ireland,M
2569,Wayne Hennessey,24 January 1987,Wales,G
10855,Dion Henry,12 September 1997,England,G
10501,Jake Hesketh,27 March 1996,England,M
3719,Heurelho Gomes,15 February 1981,Brazil,G
14619,Mateusz Hewelt,23 September 1996,Poland,G
21858,Ryan Hill,19 March 1998,England,M
10949,Jordy Hiwula-Mayifuila,21 September 1994,England,F
9936,Tommie Hoban,24 January 1994,Ireland,D
21691,Shaun Hobson,29 June 1998,England,D
6194,Wesley Hoedt,6 March 1994,Netherlands,D
3801,Jonathan Hogg,6 December 1988,England,M
11575,Rob Holding,20 September 1995,England,D
5713,José Holebas,27 June 1984,Greece,D
10564,Mason Holgate,22 October 1996,Jamaica,D
14637,Nathan Holland,19 June 1998,England,M
13191,Jordan Holmes,8 May 1997,Australia,G
8340,Tareiq Holmes-Dennis,31 October 1995,England,D
23744,Fraser Hornby,13 September 1999,Scotland,F
2074,Mark Hudson,30 March 1982,England,D
23702,Callum Hudson-Odoi,7 November 2000,England,F
24625,Sam Hughes,15 April 1997,England,D
9417,Jordan Hugill,4 June 1992,England,F
13229,Uwe Hünemeier,9 January 1986,Germany,D
13230,Rob Hunt,7 July 1995,England,D
15292,Des Hutchinson,5 December 1996,Ireland,M
2053,Robert Huth,18 August 1984,Germany,D
10734,Emerson Hyndman,9 April 1996,United States,M
5272,Pierre-Emile Højbjerg,5 August 1995,Denmark,M
4527,Jordon Ibe,8 December 1995,England,F
7234,Vicente Iborra,16 January 1988,Spain,M
5772,Zlatan Ibrahimovic,3 October 1981,Sweden,F
13554,Kelechi Iheanacho,3 October 1996,Nigeria,F
10542,Dejan Iliev,25 February 1995,North Macedonia,G
5588,Giannelli Imbula,12 September 1992,DR Congo,M
4284,Rohan Ince,8 November 1992,Montserrat,M
8245,Danny Ings,23 July 1992,England,F
4760,Ryan Inniss,5 June 1995,England,D
2928,Stephen Ireland,22 August 1986,Ireland,M
4717,Alex Iwobi,3 May 1996,Nigeria,F
12212,José Izquierdo,7 July 1992,Colombia,F
33056,Jaroslaw Jach,17 February 1994,Poland,D
13246,Brad Jackson,20 October 1996,England,M
9662,Jacob Murphy,24 February 1995,England,M
3222,Phil Jagielka,17 August 1982,England,D
4786,Eldin Jakupovic,2 October 1984,Switzerland,G
13797,Daniel James,10 November 1997,Wales,M
24679,James Daly,12 January 2000,England,F
21886,Kyle Jameson,11 September 1998,England,D
10480,Daryl Janmaat,22 July 1989,Netherlands,D
15481,Vincent Janssen,15 June 1994,Netherlands,F
4541,Adnan Januzaj,5 February 1995,Belgium,M
4248,Carl Jenkinson,8 February 1992,England,D
5803,Jesé,26 February 1993,Spain,F
11070,Jesús Gámez,10 April 1985,Spain,D
11355,João Mário,19 January 1993,Portugal,M
13556,Joel Pereira,28 June 1996,Portugal,G
14696,Darnell Johnson,3 September 1998,England,D
4331,Sam Johnstone,25 March 1993,England,G
15122,Jonathan Dinzeyi,13 October 1999,England,D
23815,Curtis Jones,30 January 2001,England,M
4135,Jonjo Shelvey,27 February 1992,England,M
4767,Jonny Williams,9 October 1993,Wales,M
4606,José Fonte,22 December 1983,Portugal,D
6425,Joselu,27 March 1990,Spain,F
19605,Christian Kabasele,24 February 1991,Belgium,D
3508,Younes Kaboul,4 January 1986,France,D
19611,Elias Kachunga,22 April 1992,DR Congo,F
10191,Sullay Kaikai,26 August 1995,Sierra Leone,F
4101,Tomás Kalas,15 May 1993,Czech Republic,D
3960,Harry Kane,28 July 1993,England,F
13492,N'Golo Kanté,29 March 1991,France,M
19679,Bartosz Kapustka,23 December 1996,Poland,M
19600,Loris Karius,22 June 1993,Germany,G
25311,Orestis Karnezis,11 July 1985,Greece,G
5156,Beram Kayal,2 May 1988,Israel,M
20383,Olarenwaju Kayode,8 May 1993,Nigeria,F
4333,Michael Keane,11 January 1993,England,D
3644,Martin Kelly,27 April 1990,England,D
15194,Dan Kemp,11 January 1999,England,M
13285,Kenedy,8 February 1996,Brazil,M
10449,Jonjoe Kenny,15 March 1997,England,D
13509,Ryan Kent,11 November 1996,England,F
4656,Ki Sung-Yeung,24 January 1989,South Korea,M
3926,Joshua King,15 January 1992,Norway,F
10517,Stephen Kingsley,23 July 1994,Scotland,D
15134,Nya Kirby,31 January 2000,England,M
4886,Davy Klaassen,21 February 1993,Netherlands,M
15608,Ragnar Klavan,30 October 1985,Estonia,D
14693,Josh Knight,7 September 1997,England,D
8982,Anthony Knockaert,20 November 1991,France,M
4141,Aleksandar Kolarov,10 November 1985,Serbia,D
5368,Sead Kolasinac,20 June 1993,Bosnia & Herzegovina,D
3653,Vincent Kompany,10 April 1986,Belgium,D
12359,Terence Kongolo,14 February 1994,Netherlands,D
4030,Laurent Koscielny,10 September 1985,France,D
5861,Cheikhou Kouyaté,21 December 1989,Senegal,M
3169,Tim Krul,3 April 1988,Netherlands,G
12735,Grzegorz Krychowiak,29 January 1990,Poland,M
6899,Alexandre Lacazette,28 May 1991,France,F
8935,Freddie Ladapo,1 February 1993,England,F
4618,Adam Lallana,10 May 1988,England,M
4842,Érik Lamela,4 March 1992,Argentina,M
13872,Manuel Lanzini,15 February 1993,Argentina,M
11044,Aymeric Laporte,27 May 1994,Spain,D
9257,Jamaal Lascelles,11 November 1993,England,D
14776,Joel Latibeaudiere,6 January 2000,Jamaica,D
14642,Shayne Lavery,8 December 1998,Northern Ireland,F
5561,Tom Lawrence,13 January 1994,Wales,F
20180,Achraf Lazaar,22 January 1992,Morocco,D
3830,Lee Chung-Yong,2 July 1988,South Korea,M
2852,Adam Legzdins,28 November 1986,England,G
16607,Florian Lejeune,20 May 1991,France,D
13866,Jonathan Leko,24 April 1999,England,F
5583,Mario Lemina,1 September 1993,Gabon,M
2270,Aaron Lennon,16 April 1987,England,M
16550,Filip Lesniak,14 May 1996,Slovakia,M
14982,Harry Lewis,20 December 1997,England,G
4154,Anders Lindegaard,13 April 1984,Denmark,G
5066,Victor Lindelöf,17 July 1994,Sweden,D
4337,Jesse Lingard,15 December 1992,England,M
3244,Jake Livermore,14 November 1989,England,M
5551,Fernando Llorente,26 February 1985,Spain,F
4664,Hugo Lloris,26 December 1986,France,G
7124,Jürgen Locadia,7 November 1993,Curacao,F
5179,Ruben Loftus-Cheek,23 January 1996,England,M
14168,Jason Lokilo,17 September 1998,DR Congo,F
8888,Joe Lolley,25 August 1992,England,F
3837,Kevin Long,18 August 1990,Ireland,D
13278,Ademola Lookman,20 October 1997,Nigeria,F
12444,Jonas Lössl,1 February 1989,Denmark,G
4813,Dejan Lovren,5 July 1989,Croatia,D
4487,Matthew Lowton,9 June 1989,England,D
3173,Kazenga LuaLua,10 December 1990,DR Congo,F
3137,Lucas Leiva,9 January 1987,Brazil,M
5762,Lucas Moura,13 August 1992,Brazil,F
4290,Romelu Lukaku,13 May 1993,Belgium,F
16088,Dodi Lukébakio,24 September 1997,Belgium,F
14170,Levi Lumeka,5 September 1998,England,F
10422,Matt Macey,9 September 1994,England,G
13228,Niki Mäenpää,23 January 1985,Finland,G
13987,Pablo Maffeo,12 July 1997,Argentina,D
9566,Harry Maguire,5 March 1993,England,D
7985,Connor Mahoney,12 February 1997,England,F
8983,Riyad Mahrez,21 February 1991,Algeria,F
10428,Ainsley Maitland-Niles,29 August 1997,England,M
15418,Moses Makasi,22 September 1995,England,M
14456,Donyell Malen,19 January 1999,Netherlands,F
3995,Scott Malone,25 March 1991,England,M
5566,Steve Mandanda,28 March 1985,France,G
6519,Sadio Mané,10 April 1992,Senegal,F
5334,Eliaquim Mangala,13 February 1991,France,D
4918,Javier Manquillo,5 May 1994,Spain,D
12374,Elvis Manu,13 August 1993,Ghana,F
8171,Solly March,20 July 1994,England,M
3251,Adrian Mariappa,3 October 1986,Jamaica,D
15404,Adnan Maric,17 February 1997,Sweden,M
5078,Lazar Markovic,2 March 1994,Serbia,M
2359,Dean Marney,31 January 1984,England,M
11272,Anthony Martial,5 December 1995,France,F
13716,Cuco Martina,25 September 1989,Curacao,D
4245,Emiliano Martínez,2 September 1992,Argentina,G
11177,Bruno Martins Indi,8 February 1992,Netherlands,D
19677,Brandon Mason,30 September 1997,England,D
13932,Ntumba Massanka,30 November 1996,England,M
13508,Conor Masterson,8 September 1998,Ireland,D
11284,Arthur Masuaku,7 November 1993,DR Congo,D
4287,Juan Mata,28 April 1988,Spain,M
16275,Ales Mateju,3 June 1996,Czech Republic,D
3861,Nemanja Matic,1 August 1988,Serbia,M
5375,Joël Matip,8 August 1991,Cameroon,D
3669,Matty James,22 July 1991,England,M
32638,Konstantinos Mavropanos,11 December 1997,Greece,D
9960,Alfie Mawson,19 January 1994,England,D
5850,Chancel Mbemba,8 August 1994,DR Congo,D
4224,James McArthur,7 October 1987,Scotland,M
4437,Gareth McAuley,5 December 1979,Northern Ireland,D
8107,Oliver McBurnie,4 June 1996,Scotland,F
3979,James McCarthy,12 November 1990,Ireland,M
4395,James McClean,22 April 1989,Ireland,M
14447,Marcus McGuane,2 February 1999,England,M
3779,Callum McManaman,25 April 1991,England,M
24797,Dwight McNeil,22 November 1999,England,F
9649,Sam McQueen,6 February 1995,England,M
14824,Scott McTominay,8 December 1996,Scotland,M
3909,Ben Mee,21 September 1989,England,D
15160,Max Melbourne,24 October 1998,England,D
19617,Nampalys Mendy,23 June 1992,Senegal,M
19778,Mikel Merino,22 June 1996,Spain,M
4246,Per Mertesacker,29 September 1984,Germany,D
22575,Roque Mesa,7 June 1989,Spain,M
13280,Matt Miazga,19 July 1995,United States,D
4179,Simon Mignolet,6 March 1988,Belgium,G
5859,Luka Milivojevic,7 April 1991,Serbia,M
2100,James Milner,4 January 1986,England,M
8900,Tyrone Mings,13 March 1993,England,D
4507,Kevin Mirallas,5 October 1987,Belgium,F
14822,Demetri Mitchell,11 January 1997,England,M
5879,Aleksandar Mitrovic,16 September 1994,Serbia,F
5102,Henrikh Mkhitaryan,21 January 1989,Armenia,M
13778,Moha,13 January 1996,Spain,M
5239,Mohamed Elneny,11 July 1992,Egypt,M
5178,Mohamed Salah,15 June 1992,Egypt,F
15293,Jayson Molumby,6 August 1999,Ireland,M
10518,Jefferson Montero,1 September 1989,Ecuador,M
14698,Elliott Moore,16 March 1997,England,D
19619,Aaron Mooy,15 September 1990,Australia,M
5804,Álvaro Morata,23 October 1992,Spain,F
7219,Alberto Moreno,5 July 1992,Spain,D
8966,Wes Morgan,21 January 1984,Jamaica,D
14631,Morgan Feeney,8 February 1999,England,D
2529,James Morrison,25 May 1986,Scotland,M
3983,Victor Moses,12 December 1990,Nigeria,M
22570,Steve Mounié,29 September 1994,Benin,F
19603,Lys Mousset,8 February 1996,France,F
15118,Joy Mukena,3 July 1999,England,D
12356,Erwin Mulder,3 March 1989,Netherlands,G
4822,Muniesa,27 March 1992,Spain,D
19911,Arijanet Muric,7 November 1998,Kosovo,G
9581,Jamie Murphy,28 August 1989,Scotland,F
4772,Glenn Murray,25 September 1983,England,F
5208,Ahmed Musa,14 October 1992,Nigeria,F
11147,Charly Musonda,15 October 1996,Belgium,M
3869,Shkodran Mustafi,17 April 1992,Germany,D
3333,Jordon Mutch,2 December 1991,England,M
2011,Boaz Myhill,9 November 1982,Wales,G
6903,Clinton N'Jie,15 August 1993,Cameroon,F
4472,Nacho Monreal,26 February 1986,Spain,D
7122,Luciano Narsingh,13 September 1990,Netherlands,F
3546,Samir Nasri,26 June 1987,France,M
3956,Kyle Naughton,17 November 1988,England,D
20479,Wilfred Ndidi,16 December 1996,Nigeria,M
14270,Mikael Ndjoli,16 December 1998,England,F
20708,Didier Ndong,17 June 1994,Gabon,M
14712,Layton Ndukwu,7 September 1998,England,F
14450,Reiss Nelson,10 December 1999,England,F
15184,Vashon Neufville,18 July 1999,England,D
15052,Julien Ngoy,2 November 1997,Belgium,F
13390,Oumar Niasse,18 April 1990,Senegal,F
14451,Eddie Nketiah,30 May 1999,England,F
15938,Georges-Kévin Nkoudou,13 February 1995,Cameroon,M
14807,Lukas Nmecha,14 December 1998,Germany,F
3014,Mark Noble,8 May 1987,England,M
19604,Nolito,15 October 1986,Spain,F
13795,Kristoffer Nordfeldt,23 June 1989,Sweden,G
23556,Mathias Normann,28 May 1996,Norway,M
3924,Oliver Norwood,12 April 1991,Northern Ireland,M
13821,Allan Nyom,10 May 1988,Cameroon,D
24353,Lewis O'Brien,14 October 1998,England,M
20870,Keelan O'Connell,30 November 1999,England,M
10425,Stefan O'Connor,23 January 1997,England,D
