player_id,full_name,birth_date,nationality,position,market_value
14642,Shayne Lavery,8 December 1998,Northern Ireland,F,
3830,Lee Chung-Yong,2 July 1988,South Korea,M,
14982,Harry Lewis,20 December 1997,England,G,
14168,Jason Lokilo,17 September 1998,DR Congo,F,
14170,Levi Lumeka,5 September 1998,England,F,
13228,Niki Mäenpää,23 January 1985,Finland,G,
13987,Pablo Maffeo,12 July 1997,Argentina,D,5000000.0
15418,Moses Makasi,22 September 1995,England,M,
3995,Scott Malone,25 March 1991,England,M,
22548,Marcelo Djaló,8 October 1993,Guinea-Bissau,D,
2359,Dean Marney,31 January 1984,England,M,
19677,Brandon Mason,30 September 1997,England,D,
13508,Conor Masterson,8 September 1998,Ireland,D,
23827,Rabbi Matondo,9 September 2000,Wales,F,2000000.0
64147,Matty Daly,10 March 2001,England,M,
5850,Chancel Mbemba,8 August 1994,DR Congo,D,3000000.0
20646,Isaac Mbenza,8 March 1996,Belgium,F,1000000.0
4785,Allan McGregor,31 January 1982,Scotland,G,
21189,Ibrahim Meite,29 July 1996,England,F,
4006,Nathaniel Méndez-Laing,15 April 1992,Guatemala,F,
4246,Per Mertesacker,29 September 1984,Germany,D,
14822,Demetri Mitchell,11 January 1997,England,M,
14631,Morgan Feeney,8 February 1999,England,D,
4577,Sean Morrison,8 January 1991,England,D,
22570,Steve Mounié,29 September 1994,Benin,F,3000000.0
15118,Joy Mukena,3 July 1999,England,D,
1926,Brian Murphy,7 May 1983,Ireland,G,
5208,Ahmed Musa,14 October 1992,Nigeria,F,
4645,Alfred N'Diaye,6 March 1990,Senegal,M,
14270,Mikael Ndjoli,16 December 1998,England,F,
20708,Didier Ndong,17 June 1994,Gabon,M,1200000.0
15184,Vashon Neufville,18 July 1999,England,D,
14807,Lukas Nmecha,14 December 1998,Germany,F,3000000.0
3316,Håvard Nordtveit,21 June 1990,Norway,D,
24353,Lewis O'Brien,14 October 1998,England,M,5000000.0
4765,Stuart O'Keefe,4 March 1991,England,M,
15140,Tashan Oakley-Boothe,14 February 2000,England,M,
22052,Phil Ofosu-Ayeh,15 September 1991,Ghana,D,
19927,Nathanael Ogbeta,28 April 2001,England,D,
20088,Prince Alban Oniangué,4 November 1988,Congo,M,
14436,Jordi Osei-Tutu,2 October 1998,England,D,
4319,Costel Pantilimon,1 February 1987,Romania,G,
13962,Josh Pask,1 November 1997,England,D,
22046,Callum Paterson,13 October 1994,Scotland,F,
9664,Jack Payne,25 October 1994,England,M,
25513,Pedro Pereira,28 June 1998,Portugal,M,4000000.0
7081,Lucas Pérez,10 September 1988,Spain,F,
12463,Jérémy Pied,23 February 1989,France,D,
4356,Anthony Pilkington,6 June 1988,Ireland,M,
4433,Alex Pritchard,3 May 1993,England,M,
21677,Collin Quaner,18 June 1991,Germany,F,
11241,Erdal Rakip,13 February 1996,North Macedonia,M,
10074,Joe Ralls,12 October 1993,England,M,1000000.0
19673,Ramadan Sobhi,23 January 1997,Egypt,M,1500000.0
13123,Jeff Reine-Adélaïde,17 January 1998,France,M,1500000.0
4416,Jazz Richards,12 April 1991,Wales,D,
8710,Patrick Roberts,5 February 1997,England,M,3500000.0
2464,Liam Rosenior,9 July 1984,England,D,
30533,Aaron Rowe,7 September 2000,England,M,
3319,Rui Fonte,23 April 1990,Portugal,F,
22591,Abdelhamid Sabiri,28 November 1996,Morocco,M,1500000.0
6252,Emiliano Sala,31 October 1990,Argentina,F,
13648,Martin Samuelsen,17 April 1997,Norway,M,
8887,Sean Scannell,17 September 1990,Ireland,M,
19607,Christopher Schindler,29 April 1990,Germany,D,
24346,Ryan Schofield,11 December 1999,England,G,
4750,André Schürrle,6 November 1990,Germany,M,
14578,Kyle Scott,22 December 1997,United States,M,
51418,Samuel Sharrock-Peplow,14 July 2002,England,M,
2007,Steve Sidwell,14 December 1982,England,M,
13232,Jiri Skalak,12 March 1992,Czech Republic,M,
9030,Brad Smith,9 April 1994,Australia,D,
13329,Ben Stevenson,23 March 1997,England,M,
1295,Stuart Taylor,28 November 1980,England,G,
10498,Dusan Tadic,20 November 1988,Serbia,F,2500000.0
24214,Kyle Taylor,26 May 1999,England,M,
8451,George Thomas,24 March 1997,Wales,M,
14566,Jared Thompson,23 February 1999,Northern Ireland,G,
14667,Jón Thorsteinsson,26 November 1998,Iceland,F,
9134,Lee Tomlin,12 January 1989,England,F,
4148,Yaya Touré,13 May 1983,Cote D’Ivoire,M,
13235,Richie Towell,17 July 1991,Ireland,M,
15133,Shilow Tracey,29 April 1998,England,F,
2835,Armand Traore,8 October 1989,Senegal,D,
10964,Rajiv van La Parra,4 June 1991,Netherlands,F,
12949,Luciano Vietto,5 December 1993,Argentina,F,2000000.0
15119,Anton Walkes,8 February 1997,England,D,
2980,Dean Whitehead,12 January 1982,England,M,
8048,Ben Whitfield,28 February 1996,England,M,
2678,Rhoys Wiggins,4 November 1987,Wales,D,
4403,Ashley Williams,23 August 1984,Wales,D,
3338,Mauro Zárate,18 March 1987,Argentina,F,
6827,Michal Zyro,20 September 1992,Poland,F,
9131,Albert Adomah,13 December 1987,Ghana,D,
24778,Daniel Adshead,2 September 2001,England,M,
4040,Benik Afobe,12 February 1993,DR Congo,F,
10559,Daniel Agyei,1 June 1997,England,F,
24695,Soufyan Ahannach,9 September 1995,Netherlands,M,
13984,Allan,3 March 1997,Brazil,M,200000000.0
49990,Ibrahim Amadou,6 April 1993,France,M,
15128,Luke Amos,23 February 1997,England,M,
10475,Ander Herrera,14 August 1989,Spain,M,1200000.0
4823,Marko Arnautovic,19 April 1989,Austria,F,3500000.0
14803,Daniel Arzani,4 January 1999,Australia,F,
14945,Benny Ashley-Seal,21 November 1998,England,F,
14720,Daniel Atherton,18 December 1999,England,G,
9468,Charlie Austin,5 July 1989,England,F,
14902,Owen Bailey,22 January 1999,England,M,
15288,Ben Barclay,7 October 1996,England,D,
49956,Antonio Barreca,18 March 1995,Italy,D,
16622,Borja Bastón,25 August 1992,Spain,F,1000000.0
3988,Danny Batth,21 September 1990,England,D,
13490,Yohan Benalouane,28 March 1987,Tunisia,D,
51464,Jayden Bennetts,26 June 2001,England,F,
15661,Birkir Bjarnason,27 May 1988,Iceland,M,
21820,Joshua Bohui,3 March 1999,England,F,
4601,Artur Boruc,20 February 1980,Poland,G,
5668,Miguel Britos,17 July 1985,Uruguay,D,
4674,Isaiah Brown,7 January 1997,England,M,
8162,Bruno,1 October 1980,Spain,D,8000000.0
14779,Kean Bryan,1 November 1996,England,D,
23695,Marcin Bulka,4 October 1999,Poland,G,20000000.0
3567,Mark Bunn,16 November 1984,England,G,
66307,Rocky Bushiri,30 November 1999,Belgium,D,
11965,Matt Butcher,14 May 1997,England,M,
22952,Víctor Camarasa,28 May 1994,Spain,M,
50467,Brennan Camp,12 October 2000,Scotland,D,
4843,Étienne Capoue,11 July 1988,France,M,
4430,Tom Carroll,28 May 1992,England,M,
4259,Samir Carruthers,4 April 1993,Ireland,M,
2651,Petr Cech,20 May 1982,Czech Republic,G,
2936,James Chester,23 January 1989,Wales,D,
4161,Chicharito,1 June 1988,Mexico,F,
13510,Pedro Chirivella,23 May 1997,Spain,M,5000000.0
14589,Isaac Christie-Davies,18 October 1997,Wales,M,
14473,Mitchell Clark,13 March 1999,Wales,D,
12365,Jordy Clasie,27 June 1991,Netherlands,M,2000000.0
14549,Will Collar,3 February 1997,England,M,
8045,Steve Cook,19 April 1991,England,D,
8585,Paul Coutts,22 July 1988,Scotland,M,
2559,Martin Cranie,26 September 1986,England,D,
4354,Andrew Crofts,29 May 1984,Wales,M,
1629,Peter Crouch,30 January 1981,England,F,
3242,Charlie Daniels,7 September 1986,England,D,
5328,Danilo,15 July 1991,Brazil,D,4000000.0
12854,Matteo Darmian,2 December 1989,Italy,D,4000000.0
14555,Archie Davies,7 October 1998,England,D,
21506,Jonathan De Bie,28 May 2000,Belgium,G,
1526,Jermain Defoe,7 October 1982,England,F,
5345,Steven Defour,15 April 1988,Belgium,M,
4123,Mousa Dembélé,16 July 1987,Belgium,M,
11002,Jason Denayer,28 June 1995,Belgium,D,2000000.0
4777,Gerard Deulofeu,13 March 1994,Spain,F,
3982,Mohamed Diamé,14 June 1987,Senegal,M,
14800,Brahim Díaz,3 August 1999,Morocco,F,45000000.0
26556,Mihai-Alexandru Dobre,30 August 1998,Romania,M,1400000.0
14487,Jake Doyle-Hayes,30 December 1998,Ireland,M,
13340,Luke Dreher,27 November 1998,England,M,
6820,Ondrej Duda,5 December 1994,Slovakia,M,4000000.0
23826,Bobby Duncan,26 June 2001,England,F,
14753,Ovie Ejaria,18 November 1997,England,M,
8962,Callum Elder,27 January 1995,Australia,D,
8046,Tommy Elphick,7 September 1987,England,D,
15258,Niall Ennis,20 May 1999,England,F,
13903,Bright Enobakhare,8 February 1998,Nigeria,F,
2417,Cesc Fàbregas,4 May 1987,Spain,M,
5361,Ralf Fährmann,27 September 1988,Germany,G,
3604,Marouane Fellaini,22 November 1987,Belgium,M,
15759,Edimilson Fernandes,15 April 1996,Switzerland,D,3500000.0
10500,Jake Flannigan,2 February 1996,England,M,
66509,Flávio Cristóvão,23 May 1997,Portugal,D,
25292,Dimitri Foulquier,23 March 1993,Guadeloupe,D,2000000.0
8044,Simon Francis,16 February 1985,England,D,
24238,Marcel Franke,5 April 1993,Germany,D,
9567,Kieron Freeman,21 March 1992,Wales,D,
12639,Manolo Gabbiadini,26 November 1991,Italy,F,
3868,Luke Garbutt,21 May 1993,England,D,
15146,Anthony Georgiou,24 February 1997,Cyprus,D,
20179,Paul Gladon,18 March 1992,Netherlands,F,
24232,Paul Glatzel,20 February 2001,Germany,F,
10433,Andre Green,26 July 1998,England,F,
25266,Mason Greenwood,1 October 2001,England,F,35000000.0
14766,Daniel Grimshaw,16 January 1998,England,G,
24839,Sead Haksabanovic,4 May 1999,Montenegro,M,2500000.0
14835,Ethan Hamilton,18 October 1998,Scotland,M,
14875,Nathan Harker,5 November 1998,England,G,
13234,Tomer Hemed,2 May 1987,Israel,F,
11579,Ben Heneghan,19 September 1993,England,D,
10432,Rushian Hepburn-Murphy,28 August 1998,England,F,
10501,Jake Hesketh,27 March 1996,England,M,
3719,Heurelho Gomes,15 February 1981,Brazil,G,
14619,Mateusz Hewelt,23 September 1996,Poland,G,
5698,Gonzalo Higuaín,10 December 1987,Argentina,F,
14459,Kaylen Hinds,28 January 1998,England,F,
9496,Scott Hogan,13 April 1992,Ireland,F,
5713,José Holebas,27 June 1984,Greece,D,
9431,Ricky Holmes,19 June 1987,England,F,
66108,Nathaniel Shio Hong Wan,,England,M,
9417,Jordan Hugill,4 June 1992,England,F,
13550,Cameron Humphreys,22 August 1998,England,D,
8598,James Husband,3 January 1994,England,D,
3506,Alan Hutton,30 November 1984,Scotland,D,
4527,Jordon Ibe,8 December 1995,England,F,
7234,Vicente Iborra,16 January 1988,Spain,M,
6292,Ivo Pinto,7 January 1990,Portugal,D,
24679,James Daly,12 January 2000,England,F,
74590,Andi Janjeva,11 October 2002,Kosovo,D,
10480,Daryl Janmaat,22 July 1989,Netherlands,D,
15481,Vincent Janssen,15 June 1994,Netherlands,F,8000000.0
4766,Mile Jedinak,3 August 1984,Australia,M,
4248,Carl Jenkinson,8 February 1992,England,D,
4506,Jiang Guangtai,27 May 1994,China,D,
13556,Joel Pereira,28 June 1996,Portugal,G,2000000.0
14465,Viktor Johansson,14 September 1998,Sweden,G,7000000.0
45519,George Johnston,1 September 1998,Scotland,D,
4767,Jonny Williams,9 October 1993,Wales,M,
13192,Corey Jordan,4 March 1999,England,D,
6425,Joselu,27 March 1990,Spain,F,4500000.0
3508,Younes Kaboul,4 January 1986,France,D,
10191,Sullay Kaikai,26 August 1995,Sierra Leone,F,
4101,Tomás Kalas,15 May 1993,Czech Republic,D,
14750,Herbie Kane,23 November 1998,England,M,
19679,Bartosz Kapustka,23 December 1996,Poland,M,1500000.0
75317,Peter Keen,16 November 1976,England,G,
15194,Dan Kemp,11 January 1999,England,M,
13509,Ryan Kent,11 November 1996,England,F,2500000.0
4656,Ki Sung-Yeung,24 January 1989,South Korea,M,
23872,Christoph Klarer,14 June 2000,Austria,D,3500000.0
15608,Ragnar Klavan,30 October 1985,Estonia,D,
13240,Jonathan Adjo Kodjia,22 October 1989,Cote D’Ivoire,F,
3653,Vincent Kompany,10 April 1986,Belgium,D,
4030,Laurent Koscielny,10 September 1985,France,D,
8232,Daniel Lafferty,18 May 1989,Northern Ireland,D,
9603,Caolan Lavery,22 October 1992,Northern Ireland,F,
51538,Adam Leathers,14 November 2001,England,M,
2852,Adam Legzdins,28 November 1986,England,G,
15558,Moritz Leitner,8 December 1992,Germany,M,
5520,Stephan Lichtsteiner,16 January 1984,Switzerland,D,
4154,Anders Lindegaard,13 April 1984,Denmark,G,
5551,Fernando Llorente,26 February 1985,Spain,F,
63634,Lucas Perri,10 December 1997,Brazil,G,10000000.0
